gid,sac,sa,type,geom
171,411840,GNLFKSXA,HCPM-GNIS,0101000000AA0029FB783E58C0423E8D203ADD4340
172,411785,BARNKSXA,HCPM-GNIS,01010000001C1E673FF73758C037001B1021DB4340
173,411746,VRMLKSXA,HCPM-GNIS,0101000000B19B638A031158C0716B77B416DC4340
174,411746,CENLKSXA,HCPM-GNIS,0101000000CA0FA672240858C024B6BB07E8DC4340
175,411785,CRNGKSXA,HCPM-GNIS,0101000000E0A8705FE20158C055A934BD1FD44340
176,411820,BNDNKSXA,HCPM-GNIS,01010000007FD4CB947BCB57C03C65DAA3DCDE4340
177,411761,JMTWKSXA,HCPM-GNIS,0101000000097481261D7758C0410DDFC2BACC4340
178,411840,CLYDKSXA,HCPM-GNIS,01010000000848EAF3875958C0D3A81B83A9CB4340
179,411840,CFTNKSXA,HCPM-GNIS,01010000005133FF43D55158C09F0E1AB09AC84340
180,411746,WHTNKSXA,HCPM-GNIS,0101000000DE978E94881458C01C7920B248C04340
181,411785,HNVLKSXA,HCPM-GNIS,0101000000017965CDFE0458C05E633CEF6BC14340
182,411785,SLDRKSXA,HCPM-GNIS,01010000002C280CCAB4FD57C06717C2209FC44340
183,411820,MSCTKSXA,HCPM-GNIS,0101000000982721A262E157C0BBFC3D67C1C64340
184,411820,WHNGKSXA,HCPM-GNIS,01010000001955867137E757C08563F1F67BCB4340
185,411841,SPVLKSXA,HCPM-GNIS,010100000074F5BE4C6FF058C0D8BC056DCDEC4240
186,411831,TURNKSXA,HCPM-GNIS,010100000042F45ABF4F9B58C0CF882D9853E74240
187,411780,CLSNKSXA,HCPM-GNIS,0101000000EA6404AFF1B958C0735B6CA4B6D04240
188,411831,IUKAKSXA,HCPM-GNIS,010100000095C5B3BA0BAF58C0B02193E755DD4240
189,411780,MLVLKSXA,HCPM-GNIS,0101000000AE635C7171DE58C03ED7AD5406CB4240
190,411780,COTSKSXA,HCPM-GNIS,01010000001A3625B4C0B458C0C69D770888C14240
191,411833,ROSLKSXA,HCPM-GNIS,010100000020FEABD8A92758C02AFD84B35BE84240
192,411833,RECEKSXA,HCPM-GNIS,010100000003DCE2D0911C58C073EB7FCA42E64240
193,411818,SVBGKSXA,HCPM-GNIS,010100000048B945AA39C957C0F760AD35EFDF4240
194,411833,BUMTKSXA,HCPM-GNIS,010100000040232246192258C02F579AEF3BD44240
195,411818,HPLRKSXA,HCPM-GNIS,0101000000D423B2B4F8BD57C0C042E6CAA0D44240
196,411818,HTVLKSXA,HCPM-GNIS,010100000081E26CDFC8B757C0CB00063873DC4240
197,411833,PDMTKSXA,HCPM-GNIS,01010000009DAD7257651758C0357F4C6BD3CF4240
198,411818,WLNTKSXA,HCPM-GNIS,01010000001948066FFEC457C01A0CBFE5FBCC4240
199,411777,ELLSKSXA,HCPM-GNIS,0101000000C8DC6BF7E1E358C0D33DA18D12784340
200,411777,RNSMKSXA,HCPM-GNIS,0101000000080A174DC2FB58C0D4939E8E6C514340
201,411777,BRWNKSXA,HCPM-GNIS,01010000007F541E38C2EF58C0D072EA14F5514340
202,411777,MCCRKSXA,HCPM-GNIS,0101000000ECEA9FF18EE458C078071D19504A4340
203,411782,GENSKSXA,HCPM-GNIS,0101000000F0C000C2078A58C0F2A43B3E10424340
204,411777,NSCYKSXA,HCPM-GNIS,010100000045589E5104FA58C0B22B2D23F5394340
205,411777,BAZNKSXA,HCPM-GNIS,010100000063F19BC24AEC58C02CB3AD0BE4384340
206,411777,ALXNKSXA,HCPM-GNIS,0101000000D7A8E22167E358C0E268D839173C4340
207,411841,HNSTKSXA,HCPM-GNIS,01010000001372EF2BA0ED58C03F2EBB719C0F4340
208,411761,SMSNKSXA,HCPM-GNIS,0101000000AA9CF6949C7B58C0E860A2E650B14340
209,411840,MGVLKSXA,HCPM-GNIS,0101000000DA50D614ED4C58C03969D086B2BB4340
210,411840,GRENKSXA,HCPM-GNIS,010100000090D8EE1E204058C02C42565CC1B64340
211,411746,WMLDKSXA,HCPM-GNIS,0101000000270B04A6781A58C005F060D56AB24340
212,411746,ONAGKSXA,HCPM-GNIS,010100000069D7CE41E10A58C04F4244C593BE4340
213,411840,GLSCKSXA,HCPM-GNIS,0101000000C2BD326FD57558C00A809653A7AD4340
214,411840,DLPHKSXA,HCPM-GNIS,0101000000C5C48B2A687158C04CDCCFCE0EA34340
215,411840,LNFRKSXA,HCPM-GNIS,0101000000329D8CE0355558C0F6FA496BC2954340
216,411840,WKFDKSXA,HCPM-GNIS,01010000005AF7EA3E5B4058C0A863DF5F4E9B4340
217,411840,MLFRKSXA,HCPM-GNIS,0101000000F54E6095663A58C030B88BD58B954340
218,411849,BKVLKSXA,HCPM-GNIS,0101000000E4A5F67D937758C057DB036333634340
219,411839,WHCYKSXA,HCPM-GNIS,0101000000F4A21B06182F58C0284124E8D4654340
220,411839,CRTOKSXA,HCPM-GNIS,010100000006402663C65258C06ABBAE04F7574340
221,411839,DLVNKSXA,HCPM-GNIS,0101000000D53840D50D3458C020E39BB7FB534340
